               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031872,            0.006557,           0.0091052,             0.97191,             0.98318,             0.98979,             0.67062,            0.025516,           0.0044562,           0.0036838,            0.006535,            0.006535,            0.006535
                  37,            0.031363,           0.0065086,           0.0089377,             0.97609,             0.97798,             0.98945,             0.67209,            0.025167,           0.0044095,           0.0039049,            0.006436,            0.006436,            0.006436
                  38,            0.031365,           0.0064768,           0.0087164,             0.96769,             0.97958,             0.98826,             0.68131,            0.025277,           0.0043753,            0.003641,            0.006337,            0.006337,            0.006337
                  39,            0.030893,           0.0064023,            0.008428,             0.96073,             0.97555,             0.98593,              0.6785,            0.025235,           0.0043629,           0.0037626,            0.006238,            0.006238,            0.006238
                  40,              0.0308,           0.0064506,            0.008345,             0.96628,              0.9716,             0.98759,             0.67765,            0.025005,           0.0043603,           0.0039529,            0.006139,            0.006139,            0.006139
                  41,            0.030673,           0.0065287,           0.0083376,             0.96505,             0.97523,             0.98119,             0.67523,            0.024836,           0.0043385,           0.0037781,             0.00604,             0.00604,             0.00604
                  42,            0.030575,           0.0064488,           0.0081162,             0.96986,                0.98,             0.98745,             0.68123,            0.024799,           0.0043485,           0.0033661,            0.005941,            0.005941,            0.005941
                  43,            0.030465,           0.0063313,           0.0076572,             0.96714,             0.98717,             0.99021,             0.68796,             0.02447,           0.0042938,             0.00314,            0.005842,            0.005842,            0.005842
                  44,             0.03023,           0.0063833,           0.0075171,             0.97352,             0.98258,              0.9883,             0.69264,            0.024201,             0.00429,           0.0031243,            0.005743,            0.005743,            0.005743
                  45,            0.029971,           0.0062581,           0.0069711,             0.97078,             0.98511,             0.98597,             0.68767,            0.024216,           0.0042963,           0.0028443,            0.005644,            0.005644,            0.005644
                  46,            0.029587,           0.0062243,           0.0069021,             0.97258,             0.98744,             0.98524,             0.69117,             0.02389,           0.0042776,            0.002771,            0.005545,            0.005545,            0.005545
                  47,            0.029492,           0.0062547,           0.0065662,              0.9723,             0.98426,             0.98698,             0.69653,            0.024011,           0.0042739,           0.0026985,            0.005446,            0.005446,            0.005446
                  48,            0.029366,           0.0062091,           0.0067906,             0.96785,             0.98823,             0.98757,             0.69455,            0.023584,           0.0042403,           0.0028368,            0.005347,            0.005347,            0.005347
                  49,            0.029265,           0.0062308,           0.0064015,             0.96746,             0.98639,             0.98593,             0.69197,            0.023953,           0.0042596,           0.0027388,            0.005248,            0.005248,            0.005248
                  50,            0.029183,             0.00619,           0.0065407,             0.97671,             0.98841,             0.98874,             0.69497,            0.023471,           0.0042283,           0.0026225,            0.005149,            0.005149,            0.005149
                  51,            0.028856,           0.0062822,            0.006101,             0.97676,             0.99103,             0.98906,             0.69879,            0.023607,            0.004205,            0.002246,             0.00505,             0.00505,             0.00505
                  52,            0.028452,           0.0062095,           0.0059484,             0.97118,             0.99094,             0.98892,             0.70591,            0.023291,           0.0042239,           0.0022654,            0.004951,            0.004951,            0.004951
                  53,            0.028256,           0.0061911,           0.0060345,             0.97167,             0.98874,             0.98971,             0.69941,            0.023307,           0.0041736,           0.0021428,            0.004852,            0.004852,            0.004852
                  54,            0.028226,            0.006176,           0.0056591,             0.97569,             0.98785,             0.99038,             0.70238,            0.023116,           0.0041762,           0.0022029,            0.004753,            0.004753,            0.004753
                  55,            0.027767,           0.0061104,           0.0057575,              0.9807,             0.99197,             0.99127,             0.70038,            0.023177,           0.0041847,           0.0018989,            0.004654,            0.004654,            0.004654
                  56,            0.027968,           0.0060443,           0.0054497,             0.97584,             0.99005,             0.99018,             0.70498,            0.023253,           0.0042087,           0.0019222,            0.004555,            0.004555,            0.004555
                  57,            0.027928,            0.006126,           0.0053634,             0.97682,             0.99217,             0.99177,             0.70462,            0.022767,           0.0041576,           0.0020517,            0.004456,            0.004456,            0.004456
                  58,            0.027456,           0.0060724,           0.0053769,             0.97834,             0.99305,             0.99121,             0.70693,            0.022506,           0.0041469,           0.0017639,            0.004357,            0.004357,            0.004357
                  59,            0.027383,            0.005881,           0.0050258,             0.97784,             0.99337,             0.99203,             0.70616,            0.022795,           0.0041495,            0.001825,            0.004258,            0.004258,            0.004258
                  60,            0.027348,           0.0060463,            0.005019,             0.97793,             0.99406,             0.99182,             0.71023,             0.02248,           0.0041411,           0.0018263,            0.004159,            0.004159,            0.004159
                  61,            0.027127,           0.0060387,           0.0049486,             0.97943,             0.99458,             0.99048,             0.70977,            0.022468,           0.0041286,             0.00164,             0.00406,             0.00406,             0.00406
                  62,            0.026801,           0.0060294,           0.0048464,              0.9739,             0.98589,             0.98713,             0.70116,             0.02275,           0.0041558,           0.0021018,            0.003961,            0.003961,            0.003961
                  63,            0.026629,           0.0059167,           0.0049367,             0.97802,             0.99266,             0.99192,             0.70439,            0.022539,           0.0041249,           0.0017359,            0.003862,            0.003862,            0.003862
                  64,            0.026538,           0.0059641,           0.0046481,             0.97879,             0.99094,             0.99129,             0.71239,            0.022265,           0.0041179,           0.0015872,            0.003763,            0.003763,            0.003763
                  65,            0.026497,           0.0058514,           0.0048141,             0.97583,             0.98891,             0.98925,             0.71145,            0.022226,           0.0041117,           0.0018681,            0.003664,            0.003664,            0.003664
                  66,            0.026141,           0.0059723,            0.004247,             0.97556,             0.98903,              0.9884,              0.7124,            0.022043,           0.0041238,           0.0016998,            0.003565,            0.003565,            0.003565
                  67,            0.026152,           0.0058309,           0.0040803,             0.97707,             0.99048,             0.98996,             0.71013,            0.022112,            0.004069,           0.0016209,            0.003466,            0.003466,            0.003466
                  68,            0.025838,           0.0059057,           0.0043497,             0.98101,             0.99423,             0.99274,             0.71287,            0.022002,           0.0040828,           0.0013931,            0.003367,            0.003367,            0.003367
                  69,            0.025642,           0.0057893,           0.0042896,              0.9793,             0.99489,             0.99055,             0.71426,            0.021983,           0.0040622,           0.0012872,            0.003268,            0.003268,            0.003268
                  70,            0.025534,           0.0058021,           0.0042261,             0.98151,             0.99658,             0.99251,             0.71221,            0.022083,           0.0040544,           0.0012063,            0.003169,            0.003169,            0.003169
                  71,            0.025307,           0.0056842,           0.0039444,             0.98037,              0.9958,             0.99254,             0.71447,            0.021952,           0.0040708,           0.0011726,             0.00307,             0.00307,             0.00307
                  72,            0.025183,           0.0057884,           0.0037413,             0.97929,             0.99272,             0.99161,             0.71461,            0.021824,           0.0040487,            0.001189,            0.002971,            0.002971,            0.002971
                  73,            0.025019,           0.0057894,           0.0036113,             0.97894,              0.9949,             0.99249,             0.71818,            0.021814,           0.0040439,           0.0012673,            0.002872,            0.002872,            0.002872
                  74,            0.024747,           0.0058138,           0.0036489,             0.97687,             0.99409,             0.99108,             0.71452,            0.021834,           0.0040252,           0.0011403,            0.002773,            0.002773,            0.002773
                  75,            0.024767,           0.0057854,           0.0035669,             0.97479,             0.99336,             0.99063,             0.71645,            0.021899,           0.0040454,           0.0012068,            0.002674,            0.002674,            0.002674
                  76,            0.024354,           0.0056686,           0.0034327,              0.9773,              0.9949,             0.99031,             0.71662,            0.021758,           0.0040206,           0.0010782,            0.002575,            0.002575,            0.002575
                  77,            0.024349,            0.005686,           0.0033717,             0.97868,             0.99552,             0.99155,             0.71595,             0.02168,            0.004009,           0.0010619,            0.002476,            0.002476,            0.002476
                  78,            0.024076,            0.005666,           0.0032617,             0.97987,             0.99619,             0.99275,             0.71787,            0.021751,           0.0039982,           0.0010046,            0.002377,            0.002377,            0.002377
                  79,            0.023991,            0.005665,           0.0031112,             0.97767,             0.99309,             0.99071,             0.72196,             0.02171,           0.0039942,          0.00099068,            0.002278,            0.002278,            0.002278
